orgNumber,name,website
932561506,"SPARK AI NORWAY NUF","sparkpoweredlearning.com"
932562499,"WORKSIT AS","WorksIT.no"
932561298,"FXAI AS","fxai.no"
932564939,"OMNIPROD AS","www.omniprod.no"
932566702,"WATKINS CONSULTING","nordwickfarm.com"
932566311,"MEDICUE HOLDING AS","www.medicue.no"
932574640,"AQUARESORT AS","www.aquagroup.global"
932571404,"THE COCONUT AS","www.thecoconut.no"
932576414,"TAKSTINGENIØR RUNE ISØY","taksthuset.no"
932577666,"SAMEIET TOSTEMBEKKEN 15-29","www.vestbo.no"
932578247,"REDERIAKSJESELSKAPET TORVALD KLAVENESS","www.klaveness.com"
932580500,"CF MASKIN EIDE AS","www.cf.no"
932584514,"MIDT-GUDBRANDSDAL RENOVASJON IKS","www.mgr.no"
932585170,"EMT ENGINEERING AB","www.emtunga.com"
932583364,"FREDRIK FORNES AS","fredrikfornes.no"
932588390,"FORBO FLOORING AS","www.forbo.no"
932591855,"KAOSKOMPANIET AS","kaoskompaniet.no"
932594803,"ØSTERLI BOLIGSELSKAP AS","www.usbl.no"
932589206,"SIGURDSVERDEN AS","www.sigurdsverden.no"
932594986,"HUNDETRENERLINE AS","www.hundenepatoten.no"
932595419,"ENSJØVEIEN 29 AS","www.norian.no/eiendom/"
932597373,"THE PROFESSIONALS AS","theprofessionals.no"
932601346,"KAMEO INVESTMENT PLATFORM AB","www.kameo.se"
932605007,"LIBERTY SPECIALTY MARKETS EUROPE S.A.R.L.","www.libertyspecialtymarkets.com"
932604620,"ADDVANT JÆREN AS","www.addvant.no"
932606461,"STEPSTA AB","stepsta.se"
932607131,"ARGON ELEKTRO AS","www.argon.no"
932607697,"PETROTEST AS","www.petrotest.no"
932609266,"WATER WAGON NORWAY AS","www.waterwagonnorway.com"
932611805,"DOUBLEA AS","www.doublea.no"
932618214,"AVKLART AS","www.avklart.no"
932635240,"FOTOGRAF ØRNELUND AS","www.ornelund.no"
932660512,"NORSK SCENETEKNIKK AS","www.sceneteknikk.no"
932619067,"MYKLEBUSTHAUG SHIPMAN AS","www.mmred.no"
932682877,"SAMEIET NYHAVNSVEIEN 27","www.agioforvaltning.no"
932683164,"MOLTUBAKK AS","reklamekjeden.no"
932683792,"BRISK AQUA SERVICE AS","www.briskaquaservice.no"
932624036,"IMC DIVING AS","www.imc-diving.no"
932629739,"AWAZE AS","www.novasol.no"
932632136,"FURUHOLTET BOLIGAKSJESELSKAP","www.vbbl.no"
932637472,"H ØDEGAARD & CO AS","www.hoco.no"
932684705,"ARNTSEN ELEKTRO AS","a-el.no"
932686465,"BUTIKKDRIFT LANDSEM HOFF AS","www.narvesen.no"
932687119,"ADMIN IT AS","adminit.no"
932688107,"STIM WORK AS","stimwork.no"
932684667,"AMINET AS","aminet.no"
932688964,"AKVAHELP METAL SPOL. S R.O.","www.akvahelp.cz"
932689324,"SPEAKEASYSKI AS","www.speakeasyski.com/"
932689499,"AS FELLESBYGG","usbl.no"
932691744,"GABALLA INTERNASJONAL RETTSHJELP AS","www.gaballa.no"
932692929,"BUTIKKDRIFT MEHARI TSEGAY AS","www.narvesen.no"
932693550,"STASJONSDRIFT RAWAND AS","www.7-eleven.no"
932695979,"NORWEGIAN TACTICAL CONCEPTS AS","norwegiantacticalconcepts.no"
932696428,"LAMBADA SPIRIT L.L.C. NUF","www.alterainfra.com"
932696770,"HELDRANE DALLAND","Heldrane.no"
932696975,"EIERSEKSJONSSAMEIET SKIGAARDEN IV","www.obf.no"
932697033,"PECAN ENERGIES SERVICES NUF","www.pecanenergies.com"
932695448,"BUTIKKDRIFT NDQ AS","www.narvesen.no"
932700816,"EIERSEKSJONSSAMEIET BRATLIPARKEN","www.usbl.no"
932702932,"STORGATEN 7 SANDEFJORD AS","www.micasa.no"
932703165,"MAJID AROMATHERAPY NORGE","Aromanorge.no"
932703645,"STASJONSVEGEN 2 BORETTSLAG","bomidt.no"
932707535,"LARVIK REGNSKAPSBYRÅ AS","www.larvikregnskap.no"
932709074,"LILLELUX BY JOHANNESEN","lillelux.no"
932708337,"TABENA NORGE NUF","www.trg.no"
932714205,"SIX AMES A/S","sixames.com"
932714426,"ADVOKATFIRMAET HALLDIS WINJE","Riisa.no"
932717654,"LUND 'S ATHLETIC APPAREL","poseathleticsapparel.com"
932718863,"KUPAN B.V.","kupan.com"
932720086,"FRESJE AS","www.fritzoe.no"
932724332,"TØNSBERG HESTESPORT V/ELLEN LAFJELL","www.tonsberghestesport.no"
932725983,"GEORG H. MONRAD-KROHN KUNSTSTUDIO","www.georgherman.com"
932726874,"SKIPPERN YACHTS AS","skippern.yachts"
932727625,"SAMEIET SØNDRE LENSMYRVEGEN 30","www.lagerseksjoner.no"
932728591,"MEMOSERVICES AS","www.memoservices.no"
932725843,"BASSE SØRSTRØMMEN","Klondike-Clothing.com"
932726238,"HEGE ALNÆS ARNESEN","hegealnaes.no"
